"drop","Open","High","Low","Close","Adj.Close","Volume","OilPrice","deaths","DPRIME","TOTALSA","GoogleTrend","new_cases","new_deaths"
"12",-1.13110111014772,-1.14773064490402,-1.1125849333008,-1.12988928526266,-1.12988928526266,-0.0200525417050927,1.83561343519533,-0.270565189334768,1.75561984519057,1.1462680089485,-1.28864224868021,-1.121508784132,-1.06511879515547
"13",-1.09533560880999,-1.0968872571553,-1.07146478772109,-1.07178415536268,-1.07178415536268,0.461036522442009,1.88183158034093,2.58969538363278,1.75561984519057,1.1462680089485,-1.23242716139253,-1.12147440258771,-1.06511879515547
"14",-1.02955492941223,-1.02594444004184,-1.0214854323577,-1.03638278514301,-1.03638278514301,2.02442615920119,1.80453571690777,-0.270565189334768,1.75561984519057,1.1462680089485,-0.838921550378766,-1.121508784132,-1.06511879515547
"15",-1.04162420636542,-1.04525596683792,-1.02718523573282,-1.03220302577475,-1.03220302577475,0.673956234499256,1.681021708329,-0.270565189334768,1.75561984519057,1.1462680089485,-1.00756681224181,-1.121508784132,-1.06511879515547
"16",-1.03154540436179,-1.05783162536291,-1.02936750437591,-1.04388741481024,-1.04388741481024,0.0634442547146503,1.61328821975354,-0.270565189334768,1.75561984519057,1.1462680089485,-1.23242716139253,-1.121508784132,-1.06511879515547
"17",-1.07678936385836,-1.07238481513027,-1.05376271851689,-1.05465348997438,-1.05465348997438,-0.0224727387027664,1.46029022203017,-0.270565189334768,1.75561984519057,1.1462680089485,-1.51350259783093,-1.12140563949912,-1.06511879515547
"18",-1.03492607360606,-1.05327412821287,-1.02314654945953,-1.04059426482852,-1.04059426482852,-0.23217704617739,1.39654105631209,-0.270565189334768,1.75561984519057,1.1462680089485,-1.34485733596789,-1.121508784132,-1.06511879515547
"19",-1.023551870104,-1.03320559729099,-1.00791984218666,-1.01828633227654,-1.01828633227654,0.46080602748985,1.46268081574459,-0.270565189334768,1.75561984519057,1.1462680089485,-0.614061201228043,-1.121508784132,-1.06511879515547
"20",-0.933932741582947,-0.938841783653077,-0.925565489330299,-0.923576565817417,-0.923576565817417,1.75206179898203,1.46985259688788,-0.270565189334768,1.75561984519057,1.1462680089485,0.172950020799486,-1.121508784132,-1.06511879515547
"21",-0.921958257426037,-0.935566463737744,-0.901919346559174,-0.908124132407419,-0.908124132407419,0.220837732796697,1.33119816145106,2.58969538363278,1.75561984519057,1.1462680089485,-0.782706463091085,-1.12147440258771,-1.06511879515547
"22",-0.868736482167181,-0.729875599048844,-0.83514995958094,-0.703204692472346,-0.703204692472346,3.8527697434676,1.33518248430844,-0.270565189334768,1.75561984519057,1.10755646706201,-0.164340502926598,-1.12140563949912,-1.06511879515547
"23",-0.538142651821971,-0.447386531003526,-0.574000086016075,-0.533702439376326,-0.533702439376326,5.43227097738272,1.03476454086202,-0.270565189334768,1.75561984519057,1.10755646706201,2.42155351230671,-1.121508784132,-1.06511879515547
"24",-0.632453640669903,-0.637427442521433,-0.785333375014372,-0.77492568345322,-0.77492568345322,3.98994881424526,1.02679589514726,-0.270565189334768,1.75561984519057,1.10755646706201,1.97183281400527,-1.121508784132,-1.06511879515547
"25",-0.82729978714373,-0.714905280302691,-0.813197488071019,-0.752348567555136,-0.752348567555136,3.00538962609638,1.14313812258274,-0.270565189334768,1.75561984519057,1.10755646706201,0.51024054452557,-1.12147440258771,-1.06511879515547
"26",-0.77891204165932,-0.755196872983863,-0.743170983350451,-0.7537577270145,-0.7537577270145,0.375753390143031,1.12879456029618,-0.270565189334768,1.75561984519057,1.10755646706201,-0.38920085207732,-1.121508784132,-1.06511879515547
"27",-0.669198530657665,-0.677579953586619,-0.706692117981971,-0.717010614221293,-0.717010614221293,1.254596068484,1.07699836315024,-0.270565189334768,1.75561984519057,1.10755646706201,-0.670276288515724,-1.121508784132,-1.06511879515547
"28",-0.718502506455386,-0.73393875201135,-0.697572312071128,-0.712102474990131,-0.712102474990131,-0.242664566500642,0.986155802001985,-0.270565189334768,1.75561984519057,1.10755646706201,-0.838921550378766,-1.12147440258771,-1.06511879515547
"29",-0.704158320872608,-0.724298430110136,-0.688827229125274,-0.72332779416843,-0.72332779416843,-0.20520913677474,1.03476454086202,-0.270565189334768,1.75561984519057,1.10755646706201,-1.00756681224181,-1.121508784132,-1.06511879515547
"30",-0.761076722932934,-0.680654310029501,-0.73502837220337,-0.665206784319258,-0.665206784319258,1.43900355495913,1.15748168486931,-0.270565189334768,1.75561984519057,1.10755646706201,-0.726491375803404,-1.12147440258771,-1.06511879515547
"31",-0.689387713833288,-0.688425361107572,-0.65278795076218,-0.671492315195176,-0.671492315195176,0.217887397409057,1.22123085058739,-0.270565189334768,1.75561984519057,1.10755646706201,-0.895136637666446,-1.12147440258771,-1.06511879515547
"32",-0.603480946406698,-0.61576762634234,-0.576475447947399,-0.579078325498185,-0.579078325498185,0.297177660951891,1.30330790144941,-0.270565189334768,1.75561984519057,1.10755646706201,-0.951351724954127,-1.121508784132,-1.06511879515547
"33",-0.474099640254552,-0.484789173348279,-0.464661152388731,-0.485635186850779,-0.485635186850779,1.33916466643129,1.3399636717373,-0.270565189334768,1.75561984519057,1.10755646706201,-0.501631026652682,-1.121508784132,-1.06511879515547
"34",-0.492345717233161,-0.535431721218316,-0.531560747861819,-0.514149353443663,-0.514149353443663,0.441605797974972,1.30171417230645,-0.270565189334768,1.75561984519057,1.10755646706201,-0.670276288515724,-1.121508784132,-1.06511879515547
"35",-0.500197089942128,-0.533794057398344,-0.498159846505213,-0.511632049015452,-0.511632049015452,0.0589726526427579,1.49057107574625,-0.270565189334768,1.75561984519057,1.10755646706201,-0.951351724954127,-1.12147440258771,-1.06511879515547
"36",-0.607588323561649,-0.61036042201327,-0.593021217513046,-0.618041965715864,-0.618041965715864,0.160090788155087,1.47861810717411,8.31021652956787,1.75561984519057,1.10755646706201,-0.782706463091085,-1.121508784132,-1.06511879515547
"37",-0.591790840638626,-0.621020307558599,-0.650345265129389,-0.67168232044965,-0.67168232044965,0.401914567213123,1.40132224374095,-0.270565189334768,1.75561984519057,1.10755646706201,-0.782706463091085,-1.12088991633469,-1.06511879515547
"38",-0.696844125772955,-0.687900018057222,-0.668079823352066,-0.705104626273696,-0.705104626273696,0.0325464063776826,1.25071483973199,-0.270565189334768,1.75561984519057,1.10755646706201,-1.00756681224181,-1.121508784132,-1.06511879515547
