Date,Open,High,Low,Close,Adj Close,Volume,OilPrice,deaths,DPRIME,TOTALSA,GoogleTrend,new_cases,new_deaths
2020/1/2,84.900002,86.139999,84.342003,86.052002,86.052002,47660500,67.05,0,4.75,0.577033333,36,0,0
2020/1/3,88.099998,90.800003,87.384003,88.601997,88.601997,88892500,69.08,0,4.75,0.577033333,39,0,0
2020/1/6,88.094002,90.311996,88,90.307999,90.307999,50665000,70.25,0,4.75,0.577033333,31,0,0
2020/1/7,92.279999,94.325996,90.671997,93.811996,93.811996,89410500,68.74,0,4.75,0.577033333,36,0,0
2020/1/8,94.739998,99.697998,93.646004,98.428001,98.428001,155721500,67.31,0,4.75,0.577033333,39,0,0
2020/1/9,99.419998,99.760002,94.573997,96.267998,96.267998,142202000,66.58,0,4.75,0.577033333,37,0,0
2020/1/10,96.358002,96.987999,94.739998,95.629997,95.629997,64797500,66.77,0,4.75,0.577033333,34,0,0
2020/1/13,98.699997,105.125999,98.400002,104.972,104.972,132588000,64.14,0,4.75,0.577033333,39,0,0
2020/1/14,108.851997,109.482002,104.980003,107.584,107.584,144981000,64.45,0,4.75,0.577033333,41,0,0
2020/1/15,105.952003,107.568001,103.358002,103.699997,103.699997,86844000,63.29,0,4.75,0.577033333,38,0,0
2020/1/16,98.75,102.891998,98.433998,102.697998,102.697998,108683500,64.63,0,4.75,0.577033333,37,0,0
2020/1/17,101.522003,103.134003,100.632004,102.099998,102.099998,68145500,64.05,0,4.75,0.577033333,34,0,0
2020/1/21,106.050003,109.716003,105.681999,109.440002,109.440002,89017500,64.63,1,4.75,0.577033333,35,1,0
2020/1/22,114.377998,118.900002,111.82,113.912003,113.912003,156845000,63.66,0,4.75,0.577033333,42,0,0
2020/1/23,112.849998,116.400002,111.120003,114.440002,114.440002,98255000,62.11,0,4.75,0.577033333,39,0,0
2020/1/24,114.125999,114.772003,110.851997,112.963997,112.963997,71768000,61.26,0,4.75,0.577033333,35,0,0
