"Data Source","World Development Indicators",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.46646469746693","6.93493938675521","6.25884359075904","4.52131422826697","4.79383700943719","6.55868209743302","5.03670603107431","4.0420744205663","6.99363266846713","6.86945474080552","6.3105680656522","4.19682387773933","10.7062639173757","10.904090739451","6.59945525167297","6.47918135827007","8.42512012010828","7.27118178359846","7.41991464597298","6.36717336274146","4.20028427916027","5.16510219309276","8.82058863272691","11.0518813967399","5.7151135893734","7.5513274416442","6.06511731902356","5.14333503030303","7.12591937221058","7.43854682337644","5.21543208660984","","","",
"Afghanistan","AFG","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0468971030666","-3.58511111709381","12.5579601468892","17.5429289408708","11.3640937307248","-1.24150599400781","7.17438723794591","9.78449594139253","14.3516893410707","12.2525481562197","9.41677606606904","12.6426993073576","","","",
"Angola","AGO","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-84.0950001791546","-93.5134588840176","-29.522706549011","4.04755887747496","-72.5785001611618","-60.7813270387995","-5.03293321688833","-33.5534024054014","1.1283355090728","36.6411290160782","17.799803581475","2.04299496946991","12.8373343636254","-5.72699956739726","38.975946691856","-6.94485582480935","-9.8764133513386","8.76474643167009","12.6107802284249","12.3805970293865","21.1441877011225","-4.92205301222037","-5.55269083710311","-6.49968867544145","-12.2186112939945","",
"Albania","ALB","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","3.50195315724549","1.0003091547091","1.00058436930803","0.996284183664403","1.43757004192623","-25.4690910606448","-63.7871204812071","-42.5735139522975","-8.96318219295595","8.80174501441428","-10.2870097172254","19.2994542648082","","19.1095559805435","15.5794478427779","15.2582927003853","11.2500481303419","8.62545399900411","8.34124933040263","9.45903065013955","10.2060979479912","9.30140093340637","8.5504202970944","9.99611869607512","7.97107433035515","9.8884174407503","9.7364268913639","9.51039128777505","6.32459779162751","7.27252700993896","7.4134956491451","4.7006720835482","4.51176663207163","5.87191736164405","",
"Andorra","AND","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.56602872006595","-7.77340523607893","-6.74819555440486","-5.48583918237899","-11.6006987702161","-1.31470878459507","-7.00603984304116","0.455012808101836","5.55346197431575","10.3932646478907","",
"Armenia","ARM","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-24.9130577416528","39.1051682829644","30.9943493990785","34.1346115907615","38.7736674388853","33.3984630560329","21.7821520807706","18.3470692823523","15.5169875879022","11.6248160010834","14.3161459403803","11.3814924579588","12.6947444595986","10.4349146520745","15.8708814412122","10.6076357896599","12.9197578947296","11.2811932896816","12.2168430436348","13.7812486594697","16.1800096742017","17.0423595082488","11.9973399558064","9.7339773998275","10.5253197083267","",
"American Samoa","ASM","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","-0.0324775582283591","-5.43816599943154","-1.25565039042118","2.44330657718899","1.55231512124014","8.23490205936882","9.45880765244998","5.35829000452126","5.58772702086119","3.48121409654055","-1.07139078580872","7.7317894685575","10.8375621754672","9.78871955283657","9.99241544963923","10.6695655928552","9.59020182732675","10.0511649827273","9.01370812445565","9.9729650526347","9.87658228825984","10.4117093946692","10.4571716332387","9.99224446659657","10.6119748135098","13.9191415813414","10.1562584171881","6.63746408122423","10.4397021576976","6.45824729602573","5.79505158255318","8.13196020526217","9.33959510084335","9.79953139854021","7.95945311994104","11.0030464701126","8.0072745506121","6.61788471463211","7.56104003893725","10.3372779295575","6.66755885730013","5.95306024516671","",
